python main.py
$ python main.py
--- Running on DEVICE: cuda ---

======================================
 FOLD 1/8: Testing on Subject 1
======================================
Epoch 06 | Train Acc: 0.9845 | Test Acc: 0.8667 | Test F1: 0.8440                                                                                                              
Epoch 07 | Train Acc: 0.9863 | Test Acc: 0.8561 | Test F1: 0.8244                                                                                                              
Epoch 08 | Train Acc: 0.9909 | Test Acc: 0.7807 | Test F1: 0.7397                                                                                                              
Epoch 09 | Train Acc: 0.9919 | Test Acc: 0.8737 | Test F1: 0.8408                                                                                                              
Epoch 10 | Train Acc: 0.9941 | Test Acc: 0.8263 | Test F1: 0.7892                                                                                                              
Epoch 11 | Train Acc: 0.9930 | Test Acc: 0.8325 | Test F1: 0.7988                                                                                                              
Epoch 12 | Train Acc: 0.9932 | Test Acc: 0.8307 | Test F1: 0.7902                                                                                                              
Epoch 13 | Train Acc: 0.9932 | Test Acc: 0.8281 | Test F1: 0.8014                                                                                                              
Epoch 14 | Train Acc: 0.9951 | Test Acc: 0.7956 | Test F1: 0.7621                                                                                                              
Epoch 15 | Train Acc: 0.9955 | Test Acc: 0.8412 | Test F1: 0.7974                                                                                                              
Epoch 16 | Train Acc: 0.9946 | Test Acc: 0.8377 | Test F1: 0.8119                                                                                                              
Epoch 17 | Train Acc: 0.9965 | Test Acc: 0.8088 | Test F1: 0.7685                                                                                                              
Epoch 18 | Train Acc: 0.9956 | Test Acc: 0.8588 | Test F1: 0.8266                                                                                                              
Epoch 19 | Train Acc: 0.9966 | Test Acc: 0.7386 | Test F1: 0.7063                                                                                                              
Epoch 20 | Train Acc: 0.9951 | Test Acc: 0.8614 | Test F1: 0.8313                                                                                                              
Epoch 21 | Train Acc: 0.9920 | Test Acc: 0.8395 | Test F1: 0.7969                                                                                                              
Epoch 22 | Train Acc: 0.9947 | Test Acc: 0.8149 | Test F1: 0.7798                                                                                                              
Epoch 23 | Train Acc: 0.9969 | Test Acc: 0.8202 | Test F1: 0.7906                                                                                                              
Epoch 24 | Train Acc: 0.9955 | Test Acc: 0.8333 | Test F1: 0.7926                                                                                                              
Epoch 25 | Train Acc: 0.9975 | Test Acc: 0.8009 | Test F1: 0.7649                                                                                                              
Epoch 26 | Train Acc: 0.9980 | Test Acc: 0.8360 | Test F1: 0.7948                                                                                                              
Epoch 27 | Train Acc: 0.9984 | Test Acc: 0.8404 | Test F1: 0.7976                                                                                                              
Epoch 28 | Train Acc: 0.9980 | Test Acc: 0.7886 | Test F1: 0.7538                                                                                                              
Epoch 29 | Train Acc: 0.9974 | Test Acc: 0.8728 | Test F1: 0.8422                                                                                                              
Epoch 30 | Train Acc: 0.9979 | Test Acc: 0.8684 | Test F1: 0.8371                                                                                                              
Epoch 31 | Train Acc: 0.9977 | Test Acc: 0.7702 | Test F1: 0.7359                                                                                                              
Epoch 32 | Train Acc: 0.9981 | Test Acc: 0.7658 | Test F1: 0.7134                                                                                                              
Epoch 33 | Train Acc: 0.9984 | Test Acc: 0.8763 | Test F1: 0.8448                                                                                                              
Epoch 34 | Train Acc: 0.9987 | Test Acc: 0.7947 | Test F1: 0.7632                                                                                                              
Epoch 35 | Train Acc: 0.9990 | Test Acc: 0.8123 | Test F1: 0.7798                                                                                                              
Epoch 36 | Train Acc: 0.9966 | Test Acc: 0.8930 | Test F1: 0.8571                                                                                                              
Epoch 37 | Train Acc: 0.9969 | Test Acc: 0.8377 | Test F1: 0.7838                                                                                                              
Epoch 38 | Train Acc: 0.9955 | Test Acc: 0.8921 | Test F1: 0.8574                                                                                                              
Epoch 39 | Train Acc: 0.9970 | Test Acc: 0.8658 | Test F1: 0.8401                                                                                                              
Epoch 40 | Train Acc: 0.9985 | Test Acc: 0.8430 | Test F1: 0.8035                                                                                                              
-> Best for Subject 5: Acc = 0.8930, F1 = 0.8571

======================================
 FOLD 6/8: Testing on Subject 6
======================================
Epoch 01 | Train Acc: 0.5627 | Test Acc: 0.6588 | Test F1: 0.6190                                                                                                              
Epoch 02 | Train Acc: 0.8781 | Test Acc: 0.7939 | Test F1: 0.7607                                                                                                                                                         
Epoch 03 | Train Acc: 0.9496 | Test Acc: 0.9667 | Test F1: 0.9650                                                                                                                                                         
Epoch 04 | Train Acc: 0.9702 | Test Acc: 0.8377 | Test F1: 0.8033                                                                                                                                                         
Epoch 05 | Train Acc: 0.9777 | Test Acc: 0.8640 | Test F1: 0.8486                                                                                                                                                         
Epoch 06 | Train Acc: 0.9830 | Test Acc: 0.8974 | Test F1: 0.8773                                                                                                                                                         
Epoch 07 | Train Acc: 0.9803 | Test Acc: 0.9035 | Test F1: 0.8975                                                                                                                                                         
Epoch 08 | Train Acc: 0.9885 | Test Acc: 0.9167 | Test F1: 0.9015                                                                                                                                                         
Epoch 09 | Train Acc: 0.9910 | Test Acc: 0.9000 | Test F1: 0.8790                                                                                                                                                         
Epoch 10 | Train Acc: 0.9910 | Test Acc: 0.8482 | Test F1: 0.8146                                                                                                                                                         
Epoch 11 | Train Acc: 0.9925 | Test Acc: 0.9096 | Test F1: 0.8897                                                                                                                                                         
Epoch 12 | Train Acc: 0.9890 | Test Acc: 0.9140 | Test F1: 0.9033                                                                                                                                                         
Epoch 13 | Train Acc: 0.9924 | Test Acc: 0.9526 | Test F1: 0.9505                                                                                                                                                         
Epoch 14 | Train Acc: 0.9916 | Test Acc: 0.8754 | Test F1: 0.8412                                                                                                                                                         
Epoch 15 | Train Acc: 0.9937 | Test Acc: 0.9184 | Test F1: 0.8997                                                                                                                                                         
Epoch 16 | Train Acc: 0.9944 | Test Acc: 0.9246 | Test F1: 0.9104                                                                                                                                                         
Epoch 17 | Train Acc: 0.9946 | Test Acc: 0.8763 | Test F1: 0.8736                                                                                                                                                         
Epoch 18 | Train Acc: 0.9935 | Test Acc: 0.9088 | Test F1: 0.8889                                                                                                                                                         
Epoch 19 | Train Acc: 0.9950 | Test Acc: 0.8965 | Test F1: 0.8750                                                                                                                                                         
Epoch 20 | Train Acc: 0.9950 | Test Acc: 0.9272 | Test F1: 0.9069                                                                                                                                                         
Epoch 21 | Train Acc: 0.9959 | Test Acc: 0.8851 | Test F1: 0.8572                                                                                                                                                         
Epoch 22 | Train Acc: 0.9959 | Test Acc: 0.8079 | Test F1: 0.7644                                                                                                                                                         
Epoch 23 | Train Acc: 0.9954 | Test Acc: 0.9184 | Test F1: 0.8961                                                                                                                                                         
Epoch 24 | Train Acc: 0.9955 | Test Acc: 0.9132 | Test F1: 0.8931                                                                                                                                                         
Epoch 25 | Train Acc: 0.9941 | Test Acc: 0.8649 | Test F1: 0.8413                                                                                                                                                         
Epoch 26 | Train Acc: 0.9949 | Test Acc: 0.9175 | Test F1: 0.8977                                                                                                                                                         
Epoch 27 | Train Acc: 0.9952 | Test Acc: 0.9018 | Test F1: 0.8824                                                                                                                                                         
Epoch 28 | Train Acc: 0.9972 | Test Acc: 0.8693 | Test F1: 0.8426                                                                                                                                                         
Epoch 29 | Train Acc: 0.9970 | Test Acc: 0.9053 | Test F1: 0.8848                                                                                                                                                         
Epoch 30 | Train Acc: 0.9979 | Test Acc: 0.8640 | Test F1: 0.8431                                                                                                                                                         
Epoch 31 | Train Acc: 0.9966 | Test Acc: 0.8904 | Test F1: 0.8716                                                                                                                                                         
Epoch 32 | Train Acc: 0.9979 | Test Acc: 0.8623 | Test F1: 0.8391                                                                                                                                                         
Epoch 33 | Train Acc: 0.9976 | Test Acc: 0.8684 | Test F1: 0.8478                                                                                                                                                         
Epoch 34 | Train Acc: 0.9960 | Test Acc: 0.8754 | Test F1: 0.8487                                                                                                                                                         
Epoch 35 | Train Acc: 0.9956 | Test Acc: 0.9149 | Test F1: 0.8938                                                                                                                                                         
Epoch 36 | Train Acc: 0.9974 | Test Acc: 0.8675 | Test F1: 0.8369                                                                                                                                                         
Epoch 37 | Train Acc: 0.9957 | Test Acc: 0.9096 | Test F1: 0.8896                                                                                                                                                         
Epoch 38 | Train Acc: 0.9965 | Test Acc: 0.8544 | Test F1: 0.8188                                                                                                                                                         
Epoch 39 | Train Acc: 0.9971 | Test Acc: 0.8851 | Test F1: 0.8688                                                                                                                                                         
Epoch 40 | Train Acc: 0.9985 | Test Acc: 0.8728 | Test F1: 0.8498                                                                                                                                                         
-> Best for Subject 6: Acc = 0.9667, F1 = 0.9650

======================================
 FOLD 7/8: Testing on Subject 7
======================================
Epoch 01 | Train Acc: 0.5828 | Test Acc: 0.5746 | Test F1: 0.5441                                                                                                                                                         
Epoch 02 | Train Acc: 0.8929 | Test Acc: 0.7333 | Test F1: 0.6976                                                                                                                                                         
Epoch 03 | Train Acc: 0.9317 | Test Acc: 0.7491 | Test F1: 0.7117                                                                                                                                                         
Epoch 04 | Train Acc: 0.9571 | Test Acc: 0.7614 | Test F1: 0.7203                                                                                                                                                         
Epoch 05 | Train Acc: 0.9742 | Test Acc: 0.7860 | Test F1: 0.7454                                                                                                                                                         
Epoch 06 | Train Acc: 0.9767 | Test Acc: 0.8482 | Test F1: 0.8257                                                                                                                                                         
Epoch 07 | Train Acc: 0.9851 | Test Acc: 0.8596 | Test F1: 0.8427                                                                                                                                                         
Epoch 08 | Train Acc: 0.9847 | Test Acc: 0.8439 | Test F1: 0.8234                                                                                                                                                         
Epoch 09 | Train Acc: 0.9897 | Test Acc: 0.8114 | Test F1: 0.7724                                                                                                                                                         
Epoch 10 | Train Acc: 0.9875 | Test Acc: 0.7728 | Test F1: 0.7236                                                                                                                                                         
Epoch 11 | Train Acc: 0.9896 | Test Acc: 0.8465 | Test F1: 0.8325                                                                                                                                                         
Epoch 12 | Train Acc: 0.9904 | Test Acc: 0.8333 | Test F1: 0.8038                                                                                                                                                         
Epoch 13 | Train Acc: 0.9907 | Test Acc: 0.8035 | Test F1: 0.7599                                                                                                                                                         
Epoch 14 | Train Acc: 0.9916 | Test Acc: 0.8246 | Test F1: 0.7909                                                                                                                                                         
